feature,genre,system,category,ai_var,human_var,var_ratio,levene_p,levene_p_adj
spectral_centroid_mean,metal,suno,Spectral,315721.0497844497,196724.42721438676,1.6048899176124303,0.01836856647647303,0.04662789951720077
spectral_centroid_std,metal,suno,Spectral,41640.110930644245,37784.96219896401,1.1020286512761401,0.27636041078514745,0.3880805768472283
spectral_centroid_var,metal,suno,Spectral,66200962638.92118,73520052685.21523,0.9004477040076183,0.6302754553906047,0.705053899250507
spectral_bandwidth_mean,metal,suno,Spectral,252195.89725672695,65472.71665717861,3.8519235207124325,0.000290887491534962,0.0017453249492097721
spectral_bandwidth_std,metal,suno,Spectral,42488.15106108778,15585.707642218884,2.7260970137791505,5.369174014755795e-06,8.685260039711443e-05
spectral_rolloff_mean,metal,suno,Spectral,1662423.8462731082,816841.592602627,2.0351851097301257,0.006558700070390085,0.02164371023228728
spectral_rolloff_std,metal,suno,Spectral,268965.73025103274,147032.11761061446,1.8292991668890697,0.0009532285327092472,0.0044937916542007374
spectral_flatness_mean,metal,suno,Spectral,7.488583399435169e-05,0.0005500746589880063,0.13613758200045437,6.5797424543268505e-06,8.685260039711443e-05
spectral_flatness_std,metal,suno,Spectral,0.00011250422492774104,0.0004854236672053104,0.2317650179181669,0.1429316389867975,0.24824968876654305
spectral_contrast_mean,metal,suno,Spectral,1.590267916922289,1.5829539977888958,1.0046204243102512,0.904492737898216,0.9455974677908832
spectral_contrast_std,metal,suno,Spectral,0.8263928829544192,0.3198138361100554,2.5839810216029493,0.04557772512665603,0.09400405807372807
zero_crossing_rate_mean,metal,suno,Spectral,0.0004662938879386353,0.0012852863897711844,0.36279376460342677,0.01310711346242061,0.037098563403098535
zero_crossing_rate_std,metal,suno,Spectral,0.0001815096804146366,0.0002643290629140908,0.6866807547137894,0.19127741673459878,0.2939286587495257
harmonic_ratio,metal,suno,Prompt-encoded,0.005337118653498192,0.00851174544786615,0.6270298713921455,0.08421251693651742,0.1543896143836153
tempo,metal,suno,Prompt-encoded,655.8209965275054,699.54164842774,0.9375010022655559,0.6742915837105726,0.74172074208163
onset_density,metal,suno,Prompt-encoded,1.9424757575757576,1.545146913580247,1.2571463208471636,0.5354433951212199,0.6425320741454639
onset_strength_mean,metal,suno,Rhythmic,0.05600624411462757,0.02658836388018056,2.106419348216293,0.0008070127778130304,0.004161772949252979
onset_strength_std,metal,suno,Rhythmic,0.24335265274615353,0.08112477515275604,2.999732847184183,0.0001773839960306739,0.0013008159708916087
ioi_mean,metal,suno,Rhythmic,0.00382394265154284,4.901152493889504,0.0007802129512008304,0.00023267835486381712,0.001535677142101193
ioi_std,metal,suno,Rhythmic,0.04096638093953474,3.6817291411740203,0.011126940458871313,6.24341206488982e-05,0.000588664566118183
ioi_cv,metal,suno,Rhythmic,0.3188283123883414,0.10711698246864385,2.976449719181283,0.15658776669825566,0.26499468210474036
chroma_stft_mean,metal,suno,Harmonic,0.00625376514689382,0.005761458284393428,1.0854483080844215,0.595945549147714,0.6781449352370539
chroma_stft_std,metal,suno,Harmonic,0.00021471686877615572,0.00034038807074541263,0.6308002166643186,0.1861329137761756,0.2939286587495257
chroma_stft_var,metal,suno,Harmonic,7.255243281249749e-05,9.346854829997714e-05,0.7762229555512978,0.4264770387494756,0.5519114619110861
chroma_cqt_mean,metal,suno,Harmonic,0.01231888108587974,0.008047347300247394,1.5308002284803872,0.04248512525081907,0.09175883677482392
chroma_cqt_std,metal,suno,Harmonic,0.000694793333540801,0.0007549985319612852,0.9202578602847251,0.9592922500099705,0.9702629392130911
tonnetz_mean,metal,suno,Harmonic,0.0020520864995877356,0.0005196241923702394,3.949174287338792,0.0008197431566710414,0.004161772949252979
tonnetz_std,metal,suno,Harmonic,0.004740596891395312,0.0015795215550777131,3.001286608692132,1.2287383410597594e-07,8.109673050994412e-06
repetition_score,metal,suno,Structural,0.0004903373201515781,0.0009349220996524104,0.5244686379045675,0.45272136020916687,0.5637662221472645
