spotify_id,title,artist,audio_path,year,tempo,onset_density,harmonic_ratio,self_similarity_mean,tempo_label,energy_label,rhythm_label,hp_label,structure_label,era_label,seed_lyria,prompt_suno,prompt_lyria,prompt_udio
5VT96BrJKQ6BM4ED2nMXqm,Favor,Magic Sounds,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0076_Magic_Sounds_Favor.mp3,2025,112.34714673913044,6.0,0.7509335987699374,0.1257702656910676,Moderato,intense,"relentless, high-density groove","melodic, harmonic-leaning","some recurring elements, mostly varied","current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",1428322301,"Instrumental Afrobeats at 112.3 BPM (Moderato), intense, relentless, high-density groove. Melodic, harmonic-leaning (harmonic ratio 0.75). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: intense. Tempo: 112.3 BPM, Moderato. Rhythm: relentless, high-density groove, melodic, harmonic-leaning (harmonic ratio 0.75). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1428322301","Instrumental Afrobeats, 112.3 BPM (Moderato), intense energy. Relentless, high-density groove, melodic, harmonic-leaning (harmonic ratio 0.75). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
5uY0tHHPXSSkli4JJdWzeY,Beniboo,G2 Beatzz,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0081_G2_Beatzz_Beniboo.mp3,2025,135.99917763157896,4.333333333333333,0.180728869020771,0.1178613133482787,Allegro,moderate,"syncopated, groove-forward",balanced harmonic and percussive content,"some recurring elements, mostly varied","current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",609745071,"Instrumental Afrobeats at 136.0 BPM (Allegro), moderate, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.18). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: moderate. Tempo: 136.0 BPM, Allegro. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.18). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 609745071","Instrumental Afrobeats, 136.0 BPM (Allegro), moderate energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.18). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
1sDSPwAuuqc98U6jfqueDU,Coco,Pojbeatz,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0004_Pojbeatz_Coco.mp3,2025,123.046875,4.366666666666666,0.3803627052921745,0.1155794399637916,Allegro,moderate,"syncopated, groove-forward",balanced harmonic and percussive content,"some recurring elements, mostly varied","current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",1742128119,"Instrumental Afrobeats at 123.0 BPM (Allegro), moderate, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.38). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: moderate. Tempo: 123.0 BPM, Allegro. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.38). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1742128119","Instrumental Afrobeats, 123.0 BPM (Allegro), moderate energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.38). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
2aZRyaLbCEwMp67naSDwsD,Only Us,NAHZRASHID.mp3,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0106_NAHZRASHIDmp3_Only_Us.mp3,2026,129.19921875,5.166666666666667,0.5199569387636217,0.1229131416897315,Allegro,driving,"dense, fast-hitting groove",balanced harmonic and percussive content,"some recurring elements, mostly varied","current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",296173009,"Instrumental Afrobeats at 129.2 BPM (Allegro), driving, dense, fast-hitting groove. Balanced harmonic and percussive content (harmonic ratio 0.52). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: driving. Tempo: 129.2 BPM, Allegro. Rhythm: dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.52). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 296173009","Instrumental Afrobeats, 129.2 BPM (Allegro), driving energy. Dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.52). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
3o0vsx7aHXOhhiJAtAzCKZ,Condo,G2 Beatzz,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0056_G2_Beatzz_Condo.mp3,2024,129.19921875,5.266666666666667,0.1295875562748817,0.1128941709744153,Allegro,driving,"dense, fast-hitting groove",balanced harmonic and percussive content,"some recurring elements, mostly varied","contemporary Afrobeats (Amapiano crossover, drill-influenced production)",692286965,"Instrumental Afrobeats at 129.2 BPM (Allegro), driving, dense, fast-hitting groove. Balanced harmonic and percussive content (harmonic ratio 0.13). Some recurring elements, mostly varied. contemporary Afrobeats (Amapiano crossover, drill-influenced production). No vocals.","prompt: ""An instrumental Afrobeats track. Era: contemporary Afrobeats (Amapiano crossover, drill-influenced production). Mood: driving. Tempo: 129.2 BPM, Allegro. Rhythm: dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.13). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 692286965","Instrumental Afrobeats, 129.2 BPM (Allegro), driving energy. Dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.13). Some recurring elements, mostly varied. contemporary Afrobeats (Amapiano crossover, drill-influenced production). No vocals, no lyrics."
4arOHoqAoUNSDZYhnT6DMn,Summer Beat 5,Magic Sounds,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0069_Magic_Sounds_Summer_Beat_5.mp3,2025,107.666015625,4.9,0.5806386294154755,0.1347039437308411,Andante,driving,"syncopated, groove-forward",balanced harmonic and percussive content,structured with repeating sections,"current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",422748798,"Instrumental Afrobeats at 107.7 BPM (Andante), driving, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.58). Structured with repeating sections. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: driving. Tempo: 107.7 BPM, Andante. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.58). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 422748798","Instrumental Afrobeats, 107.7 BPM (Andante), driving energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.58). Structured with repeating sections. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
0p8hsJSvFePUor0bwFnFcI,I made it !,KHAY BEATZ,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0030_KHAY_BEATZ_I_made_it_.mp3,2025,117.45383522727272,6.8,0.6555047397486629,0.1304458217666194,Moderato,intense,"relentless, high-density groove","melodic, harmonic-leaning",structured with repeating sections,"current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",1004132627,"Instrumental Afrobeats at 117.5 BPM (Moderato), intense, relentless, high-density groove. Melodic, harmonic-leaning (harmonic ratio 0.66). Structured with repeating sections. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: intense. Tempo: 117.5 BPM, Moderato. Rhythm: relentless, high-density groove, melodic, harmonic-leaning (harmonic ratio 0.66). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1004132627","Instrumental Afrobeats, 117.5 BPM (Moderato), intense energy. Relentless, high-density groove, melodic, harmonic-leaning (harmonic ratio 0.66). Structured with repeating sections. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
6hTxTLHDB8EpZ6p9Z9Vd6Y,Comfort and Joy,Pojbeatz,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0016_Pojbeatz_Comfort_and_Joy.mp3,2025,112.34714673913044,6.0,0.4434891711289228,0.1305898848015207,Moderato,intense,"relentless, high-density groove",balanced harmonic and percussive content,structured with repeating sections,"current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",580526796,"Instrumental Afrobeats at 112.3 BPM (Moderato), intense, relentless, high-density groove. Balanced harmonic and percussive content (harmonic ratio 0.44). Structured with repeating sections. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: intense. Tempo: 112.3 BPM, Moderato. Rhythm: relentless, high-density groove, balanced harmonic and percussive content (harmonic ratio 0.44). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 580526796","Instrumental Afrobeats, 112.3 BPM (Moderato), intense energy. Relentless, high-density groove, balanced harmonic and percussive content (harmonic ratio 0.44). Structured with repeating sections. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
726yph8HhJcbbukvhRPFjK,Bridge - Instrumental Version,Blaze Javu,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0107_Blaze_Javu_Bridge_-_Instrumental_Version.mp3,2026,95.703125,5.7,0.312923840514767,0.1206811902311979,Andante,driving,"dense, fast-hitting groove",balanced harmonic and percussive content,"some recurring elements, mostly varied","current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",1372163561,"Instrumental Afrobeats at 95.7 BPM (Andante), driving, dense, fast-hitting groove. Balanced harmonic and percussive content (harmonic ratio 0.31). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: driving. Tempo: 95.7 BPM, Andante. Rhythm: dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.31). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1372163561","Instrumental Afrobeats, 95.7 BPM (Andante), driving energy. Dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.31). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
65sSsvr0rmtDskyHfjGROT,Crash - Instrumental,Hitsound,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/afrobeats/audio/afrobeats_0035_Hitsound_Crash_-_Instrumental.mp3,2025,99.38401442307692,6.2,0.266712808352452,0.1254986952047111,Andante,intense,"relentless, high-density groove",balanced harmonic and percussive content,"some recurring elements, mostly varied","current-wave Afrobeats (2025–2026, hyperpop and electronic fusion)",1503740942,"Instrumental Afrobeats at 99.4 BPM (Andante), intense, relentless, high-density groove. Balanced harmonic and percussive content (harmonic ratio 0.27). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals.","prompt: ""An instrumental Afrobeats track. Era: current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). Mood: intense. Tempo: 99.4 BPM, Andante. Rhythm: relentless, high-density groove, balanced harmonic and percussive content (harmonic ratio 0.27). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1503740942","Instrumental Afrobeats, 99.4 BPM (Andante), intense energy. Relentless, high-density groove, balanced harmonic and percussive content (harmonic ratio 0.27). Some recurring elements, mostly varied. current-wave Afrobeats (2025–2026, hyperpop and electronic fusion). No vocals, no lyrics."
