spotify_id,title,artist,audio_path,year,tempo,onset_density,harmonic_ratio,self_similarity_mean,tempo_label,energy_label,rhythm_label,hp_label,structure_label,era_label,seed_lyria,prompt_suno,prompt_lyria,prompt_udio
6CSDKKk57PIxxWJ2g09Dok,Eat Your Heart Out,Trilago,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0010_Trilago_Eat_Your_Heart_Out.mp3,2026,69.83741554054055,3.3333333333333335,0.7713226490891152,0.1918095658887837,Adagio,moderate,"syncopated, groove-forward","melodic, harmonic-leaning",structured with repeating sections,current-wave K-pop (contemporary idol pop production),2050700665,"Instrumental K-pop at 69.8 BPM (Adagio), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.77). Structured with repeating sections. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 69.8 BPM, Adagio. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.77). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 2050700665","Instrumental K-pop, 69.8 BPM (Adagio), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.77). Structured with repeating sections. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
3QwiidVHfeE9y5jl4n2MTC,_WORLD,SEVENTEEN,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0174_SEVENTEEN__WORLD.mp3,2022,112.34714673913044,3.566666666666667,0.6225877591023004,0.1319032289909921,Moderato,moderate,"syncopated, groove-forward",balanced harmonic and percussive content,structured with repeating sections,"4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",558930955,"Instrumental K-pop at 112.3 BPM (Moderato), moderate, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.62). Structured with repeating sections. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: moderate. Tempo: 112.3 BPM, Moderato. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.62). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 558930955","Instrumental K-pop, 112.3 BPM (Moderato), moderate energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.62). Structured with repeating sections. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
6KiEF5zqzHiFjzdm8gChz7,KNOCK,LEE CHAE YEON,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0136_LEE_CHAE_YEON_KNOCK.mp3,2023,135.99917763157896,4.833333333333333,0.6943247269163689,0.1099394972628546,Allegro,driving,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied","4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",1815308808,"Instrumental K-pop at 136.0 BPM (Allegro), driving, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.69). Some recurring elements, mostly varied. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: driving. Tempo: 136.0 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.69). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1815308808","Instrumental K-pop, 136.0 BPM (Allegro), driving energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.69). Some recurring elements, mostly varied. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
2O9bMJticxbQ8FH3NiQ7Xh,Catch Catch,YENA,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0017_YENA_Catch_Catch.mp3,2026,135.99917763157896,3.6333333333333337,0.6596759376776947,0.1101439310486853,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),363523687,"Instrumental K-pop at 136.0 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.66). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 136.0 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.66). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 363523687","Instrumental K-pop, 136.0 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.66). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
5vNRhkKd0yEAg8suGBpjeY,APT.,ROSÉ,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0074_ROSÉ_APT.mp3,2024,99.38401442307692,4.666666666666667,0.4746701056914753,0.1312630303525795,Andante,driving,"syncopated, groove-forward",balanced harmonic and percussive content,structured with repeating sections,"4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",1597976975,"Instrumental K-pop at 99.4 BPM (Andante), driving, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.47). Structured with repeating sections. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: driving. Tempo: 99.4 BPM, Andante. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.47). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1597976975","Instrumental K-pop, 99.4 BPM (Andante), driving energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.47). Structured with repeating sections. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
3THVfoVD5kdCxPviVaCPi7,Internet Girl,KATSEYE,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0051_KATSEYE_Internet_Girl.mp3,2026,129.19921875,4.233333333333333,0.6760126720565173,0.1093395733818492,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),850779497,"Instrumental K-pop at 129.2 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.68). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 129.2 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.68). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 850779497","Instrumental K-pop, 129.2 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.68). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
09keT5ocFhEd5W5HidiUNq,Chk Chk Boom,Stray Kids,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0105_Stray_Kids_Chk_Chk_Boom.mp3,2024,103.359375,4.333333333333333,0.5772791051402739,0.1346939722305848,Andante,moderate,"syncopated, groove-forward",balanced harmonic and percussive content,structured with repeating sections,"4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",831961598,"Instrumental K-pop at 103.4 BPM (Andante), moderate, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.58). Structured with repeating sections. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: moderate. Tempo: 103.4 BPM, Andante. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.58). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 831961598","Instrumental K-pop, 103.4 BPM (Andante), moderate energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.58). Structured with repeating sections. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
6NBZu27n3cxEk4y4c2Kxi8,1-800,bbno$,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0030_bbno_1-800.mp3,2025,129.19921875,4.533333333333333,0.7295233778806618,0.1093569676324245,Allegro,driving,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),1730423695,"Instrumental K-pop at 129.2 BPM (Allegro), driving, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.73). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: driving. Tempo: 129.2 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.73). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1730423695","Instrumental K-pop, 129.2 BPM (Allegro), driving energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.73). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
3XZAvh2NCDQYHgJei35VQ1,Up!,Kep1er,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0176_Kep1er_Up.mp3,2022,123.046875,5.333333333333333,0.6447605648012947,0.1098425187425524,Allegro,driving,"dense, fast-hitting groove",balanced harmonic and percussive content,"some recurring elements, mostly varied","4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",1008711045,"Instrumental K-pop at 123.0 BPM (Allegro), driving, dense, fast-hitting groove. Balanced harmonic and percussive content (harmonic ratio 0.64). Some recurring elements, mostly varied. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: driving. Tempo: 123.0 BPM, Allegro. Rhythm: dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.64). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1008711045","Instrumental K-pop, 123.0 BPM (Allegro), driving energy. Dense, fast-hitting groove, balanced harmonic and percussive content (harmonic ratio 0.64). Some recurring elements, mostly varied. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
2KwOuFfwQyT9mZqjvchd81,Ay-Yo,NCT 127,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0151_NCT_127_Ay-Yo.mp3,2023,89.10290948275862,3.6333333333333337,0.6878427258854157,0.1083370981954884,Andante,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied","4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",930302942,"Instrumental K-pop at 89.1 BPM (Andante), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.69). Some recurring elements, mostly varied. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: moderate. Tempo: 89.1 BPM, Andante. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.69). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 930302942","Instrumental K-pop, 89.1 BPM (Andante), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.69). Some recurring elements, mostly varied. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
