spotify_id,title,artist,audio_path,year,tempo,onset_density,harmonic_ratio,self_similarity_mean,tempo_label,energy_label,rhythm_label,hp_label,structure_label,era_label,seed_lyria,prompt_suno,prompt_lyria,prompt_udio
7MeXwzhSDGfqNfuFANgzVC,Toxicity,System Of A Down,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0003_System_Of_A_Down_Toxicity.mp3,2001,75.99954044117646,4.1,0.7358446976424375,0.1734212521785385,Adagio,moderate,"syncopated, groove-forward","melodic, harmonic-leaning",structured with repeating sections,2000s heavy metal (nu-metal and metalcore wave),2011066308,"Instrumental Heavy Metal at 76.0 BPM (Adagio), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.74). Structured with repeating sections. 2000s heavy metal (nu-metal and metalcore wave). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: 2000s heavy metal (nu-metal and metalcore wave). Mood: moderate. Tempo: 76.0 BPM, Adagio. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.74). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 2011066308","Instrumental Heavy Metal, 76.0 BPM (Adagio), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.74). Structured with repeating sections. 2000s heavy metal (nu-metal and metalcore wave). No vocals, no lyrics."
2ib8fuTavdc48X6MjhE4Ft,ZOMBIFIED,Falling In Reverse,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0099_Falling_In_Reverse_ZOMBIFIED.mp3,2022,184.5703125,1.1333333333333333,0.797850542332445,0.0954315318545372,Presto,sparse,"sparse, open feel","strongly melodic, harmonic-forward","through-composed, minimal repetition","contemporary heavy metal (modern production, post-metal elements)",1387048103,"Instrumental Heavy Metal at 184.6 BPM (Presto), sparse, sparse, open feel. Strongly melodic, harmonic-forward (harmonic ratio 0.80). Through-composed, minimal repetition. contemporary heavy metal (modern production, post-metal elements). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: contemporary heavy metal (modern production, post-metal elements). Mood: sparse. Tempo: 184.6 BPM, Presto. Rhythm: sparse, open feel, strongly melodic, harmonic-forward (harmonic ratio 0.80). Structure: through-composed, minimal repetition."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1387048103","Instrumental Heavy Metal, 184.6 BPM (Presto), sparse energy. Sparse, open feel, strongly melodic, harmonic-forward (harmonic ratio 0.80). Through-composed, minimal repetition. contemporary heavy metal (modern production, post-metal elements). No vocals, no lyrics."
6dRAAG4sB71NAtVCHJep7s,Send the Pain Below,Chevelle,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0096_Chevelle_Send_the_Pain_Below.mp3,2002,92.28515625,3.3666666666666667,0.7898107822094266,0.1538032599348761,Andante,moderate,"syncopated, groove-forward","strongly melodic, harmonic-forward",structured with repeating sections,2000s heavy metal (nu-metal and metalcore wave),1945955087,"Instrumental Heavy Metal at 92.3 BPM (Andante), moderate, syncopated, groove-forward. Strongly melodic, harmonic-forward (harmonic ratio 0.79). Structured with repeating sections. 2000s heavy metal (nu-metal and metalcore wave). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: 2000s heavy metal (nu-metal and metalcore wave). Mood: moderate. Tempo: 92.3 BPM, Andante. Rhythm: syncopated, groove-forward, strongly melodic, harmonic-forward (harmonic ratio 0.79). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1945955087","Instrumental Heavy Metal, 92.3 BPM (Andante), moderate energy. Syncopated, groove-forward, strongly melodic, harmonic-forward (harmonic ratio 0.79). Structured with repeating sections. 2000s heavy metal (nu-metal and metalcore wave). No vocals, no lyrics."
5JFZ9Dn9Br9d0C3BEaO75L,Back for More,Hurricane on Saturn,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0007_Hurricane_on_Saturn_Back_for_More.mp3,2023,123.046875,3.3666666666666667,0.7245627408403371,0.1146693164897605,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied","contemporary heavy metal (modern production, post-metal elements)",734962729,"Instrumental Heavy Metal at 123.0 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.72). Some recurring elements, mostly varied. contemporary heavy metal (modern production, post-metal elements). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: contemporary heavy metal (modern production, post-metal elements). Mood: moderate. Tempo: 123.0 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.72). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 734962729","Instrumental Heavy Metal, 123.0 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.72). Some recurring elements, mostly varied. contemporary heavy metal (modern production, post-metal elements). No vocals, no lyrics."
5XUuldRjPXcP5QxyEN4IXT,Voices In My Head,Falling In Reverse,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0044_Falling_In_Reverse_Voices_In_My_Head.mp3,2022,86.1328125,4.3,0.5765702633268518,0.1399670200804544,Andante,moderate,"syncopated, groove-forward",balanced harmonic and percussive content,structured with repeating sections,"contemporary heavy metal (modern production, post-metal elements)",279423669,"Instrumental Heavy Metal at 86.1 BPM (Andante), moderate, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.58). Structured with repeating sections. contemporary heavy metal (modern production, post-metal elements). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: contemporary heavy metal (modern production, post-metal elements). Mood: moderate. Tempo: 86.1 BPM, Andante. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.58). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 279423669","Instrumental Heavy Metal, 86.1 BPM (Andante), moderate energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.58). Structured with repeating sections. contemporary heavy metal (modern production, post-metal elements). No vocals, no lyrics."
2tAzcTFry1OhmNERFjUR93,Whore,In This Moment,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0021_In_This_Moment_Whore.mp3,2012,89.10290948275862,1.6333333333333333,0.7155004319394264,0.1628542113120963,Andante,relaxed,steady groove,"melodic, harmonic-leaning",structured with repeating sections,2010s metal (djent and progressive metal influence),1361108852,"Instrumental Heavy Metal at 89.1 BPM (Andante), relaxed, steady groove. Melodic, harmonic-leaning (harmonic ratio 0.72). Structured with repeating sections. 2010s metal (djent and progressive metal influence). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: 2010s metal (djent and progressive metal influence). Mood: relaxed. Tempo: 89.1 BPM, Andante. Rhythm: steady groove, melodic, harmonic-leaning (harmonic ratio 0.72). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1361108852","Instrumental Heavy Metal, 89.1 BPM (Andante), relaxed energy. Steady groove, melodic, harmonic-leaning (harmonic ratio 0.72). Structured with repeating sections. 2010s metal (djent and progressive metal influence). No vocals, no lyrics."
55mJleti2WfWEFNFcBduhc,Schism,TOOL,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0081_TOOL_Schism.mp3,2001,107.666015625,3.033333333333333,0.679929660124751,0.1240002554363236,Andante,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied",2000s heavy metal (nu-metal and metalcore wave),1224804471,"Instrumental Heavy Metal at 107.7 BPM (Andante), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.68). Some recurring elements, mostly varied. 2000s heavy metal (nu-metal and metalcore wave). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: 2000s heavy metal (nu-metal and metalcore wave). Mood: moderate. Tempo: 107.7 BPM, Andante. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.68). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1224804471","Instrumental Heavy Metal, 107.7 BPM (Andante), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.68). Some recurring elements, mostly varied. 2000s heavy metal (nu-metal and metalcore wave). No vocals, no lyrics."
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0014_Linkin_Park_The_Emptiness_Machine.mp3,2024,92.28515625,2.7,0.7456427399046474,0.1389085144981074,Andante,relaxed,steady groove,"melodic, harmonic-leaning",structured with repeating sections,"contemporary heavy metal (modern production, post-metal elements)",1258668536,"Instrumental Heavy Metal at 92.3 BPM (Andante), relaxed, steady groove. Melodic, harmonic-leaning (harmonic ratio 0.75). Structured with repeating sections. contemporary heavy metal (modern production, post-metal elements). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: contemporary heavy metal (modern production, post-metal elements). Mood: relaxed. Tempo: 92.3 BPM, Andante. Rhythm: steady groove, melodic, harmonic-leaning (harmonic ratio 0.75). Structure: structured with repeating sections."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1258668536","Instrumental Heavy Metal, 92.3 BPM (Andante), relaxed energy. Steady groove, melodic, harmonic-leaning (harmonic ratio 0.75). Structured with repeating sections. contemporary heavy metal (modern production, post-metal elements). No vocals, no lyrics."
2FS4IrTg4wZcG3OIfEOarZ,Numb / Encore - Live,JAŸ-Z,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0105_JAŸ-Z_Numb__Encore_-_Live.mp3,2008,107.666015625,2.3666666666666667,0.8368774921084889,0.1261726226923186,Andante,relaxed,steady groove,"strongly melodic, harmonic-forward","some recurring elements, mostly varied",2000s heavy metal (nu-metal and metalcore wave),404781399,"Instrumental Heavy Metal at 107.7 BPM (Andante), relaxed, steady groove. Strongly melodic, harmonic-forward (harmonic ratio 0.84). Some recurring elements, mostly varied. 2000s heavy metal (nu-metal and metalcore wave). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: 2000s heavy metal (nu-metal and metalcore wave). Mood: relaxed. Tempo: 107.7 BPM, Andante. Rhythm: steady groove, strongly melodic, harmonic-forward (harmonic ratio 0.84). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 404781399","Instrumental Heavy Metal, 107.7 BPM (Andante), relaxed energy. Steady groove, strongly melodic, harmonic-forward (harmonic ratio 0.84). Some recurring elements, mostly varied. 2000s heavy metal (nu-metal and metalcore wave). No vocals, no lyrics."
3jWZTn9YmGH5lf0svT3dNH,Let Me Go,Smiley,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/metal/audio/metal_0097_Smiley_Let_Me_Go.mp3,2024,143.5546875,1.8666666666666667,0.6759152642809984,0.116548304684146,Allegro,relaxed,steady groove,"melodic, harmonic-leaning","some recurring elements, mostly varied","contemporary heavy metal (modern production, post-metal elements)",1676147325,"Instrumental Heavy Metal at 143.6 BPM (Allegro), relaxed, steady groove. Melodic, harmonic-leaning (harmonic ratio 0.68). Some recurring elements, mostly varied. contemporary heavy metal (modern production, post-metal elements). No vocals.","prompt: ""An instrumental Heavy Metal track. Era: contemporary heavy metal (modern production, post-metal elements). Mood: relaxed. Tempo: 143.6 BPM, Allegro. Rhythm: steady groove, melodic, harmonic-leaning (harmonic ratio 0.68). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1676147325","Instrumental Heavy Metal, 143.6 BPM (Allegro), relaxed energy. Steady groove, melodic, harmonic-leaning (harmonic ratio 0.68). Some recurring elements, mostly varied. contemporary heavy metal (modern production, post-metal elements). No vocals, no lyrics."
